SampN,As,Au,Cu,Mo,bn_ppm,cp_ppm,cc_ppm,cv_ppm,en_ppm,py_ppm,po_ppm,mb_ppm,ga_ppm,sp_ppm,TS_ppm,Rock,Alteration
82752,50,0.03,0.18,5,0,6000,0,0,0,24000,0,0,0,0,30000,QMD,PHY
48372,50,0.03,1.53,31,0,26000,0,0,0,14000,0,0,0,0,40000,VA,IAA
13724,23.1,0.02,0.13,7.62,0,1750,0,0,0,33250,0,0,0,0,35000,QMD,AAA
53339,50,0.05,0.98,61,0,27000,0,0,0,3000,0,0,0,0,30000,VA,PRO
78323,77.75,0.03,0.05,4.43,0,0,0,0,0,10000,0,0,0,0,10000,QMD,PHY
63654,110,0.11,1.01,265,3000,21000,0,0,0,6000,0,0,0,0,30000,QMD,PHY
33751,50,0.15,3.68,32,13500,27000,0,0,0,4500,0,0,0,0,45000,VA,IAA
13335,10,0.02,0.11,47.5,0,1250,0,0,0,23750,0,0,0,0,25000,QMD,PHY
85002,140,1.46,0.82,15,0,7000,0,0,0,3000,0,0,0,0,10000,VA,PHY
23722,45.3,0.03,0.06,6.3,0,3000,0,0,0,12000,0,0,0,0,15000,QMD,UAL
57573,50,0.05,1.34,42,10000,0,0,0,0,0,0,0,0,0,10000,VA,IAA
12098,6.9,0.32,0.6,10.15,600,8000,0,0,0,10800,0,600,0,0,20000,QMD,PTS
54558,50,0.02,0.17,29,0,6000,0,0,0,14000,0,0,0,0,20000,IGN,AAA
79697,564.4,0.04,0.3,98,10000,10000,0,0,0,80000,0,0,0,0,100000,QMD,PRO
53779,50,0.01,1.57,21,4000,24000,0,0,0,12000,0,0,0,0,40000,VA,IAA
57582,50,0.07,1.43,70,0,20000,0,0,0,80000,0,0,0,0,100000,VA,IAA
68181,350,0.03,1.73,43,6000,0,0,0,3000,21000,0,0,0,0,30000,IGN,AAA
77441,29.18,0.02,0.05,9.19,0,500,500,0,0,49000,0,0,0,0,50000,QMD,PHY
77733,169.5,0.54,0.48,91.4,0,3000,0,0,0,17000,0,0,0,0,20000,QMD,PHY
33909,50,0.53,0.87,99,0,21000,0,0,0,9000,0,0,0,0,30000,QMD,PHY
80377,9.65,0.01,0.04,7.03,0,16000,0,0,0,64000,0,0,0,0,80000,QMD,PHY
78525,369.5,0.02,0.24,9.31,0,20250,0,0,0,24750,0,0,0,0,45000,QMD,PHY
55418,50,0.08,1.66,31,4000,32000,0,0,0,4000,0,0,0,0,40000,QMD,AAA
54208,50,0.02,0.61,35,0,24000,0,0,0,16000,0,0,0,0,40000,VA,IAA
76090,50,0.03,0.33,33,0,6000,0,0,0,24000,0,0,0,0,30000,QMD,AAA
27118,50,0.06,1.33,18,0,24000,0,0,0,6000,0,0,0,0,30000,QMD,IAA
84882,120,0.03,0.72,31,0,16000,0,0,0,24000,0,0,0,0,40000,IGN,IAA
26890,1330,0.03,1.09,175,6000,18000,0,0,0,36000,0,0,0,0,60000,IGN,IAA
12845,8.2,0.03,0.21,140,0,9000,0,0,0,21000,0,0,0,0,30000,QMD,PHY
70606,50,0.07,1.64,18,15000,0,0,0,0,35000,0,0,0,0,50000,QMD,PHY
68821,50,0.05,1.16,81,7500,10000,0,0,0,7500,0,0,0,0,25000,VA,PRO
47039,50,0.06,0.53,165,0,15000,0,0,0,35000,0,0,0,0,50000,VA,PRO
45005,50,0.16,0.57,33,0,12000,0,0,0,28000,0,0,0,0,40000,QMD,PHY
46901,500,0.03,1.07,53,6000,6000,0,0,0,48000,0,0,0,0,60000,IGN,IAA
57938,50,0.48,0.54,11,0,12000,0,0,0,28000,0,0,0,0,40000,QMD,PHY
46632,50,0.07,0.91,51,0,15000,0,0,0,15000,0,0,0,0,30000,VA,IAA
52907,50,0.01,1.07,5,0,27000,0,0,0,3000,0,0,0,0,30000,VA,PRO
23196,156.5,0.31,0.05,9.71,0,0,0,0,0,20000,0,0,0,0,20000,QMD,PHY
68233,220,0.03,1.95,72,16000,0,0,0,0,24000,0,0,0,0,40000,VA,AAA
67437,2630,0.07,3.18,97,26000,0,9750,0,6500,22750,0,0,0,0,65000,IGN,AAA
16636,5.8,0.01,0.06,1.65,0,5250,0,0,0,9750,0,0,0,0,15000,QMD,PHY
13377,103.5,0.11,0.16,8.14,0,3000,0,0,0,27000,0,0,0,0,30000,QMD,PHY
32966,50,0.04,1,48,12000,8000,0,0,0,0,0,0,0,0,20000,VA,PRO
30906,50,0.1,0.71,245,0,12000,0,0,0,8000,0,0,0,0,20000,IGN,PHY
26936,50,0.03,0.62,57,0,20000,0,0,0,20000,0,0,0,0,40000,IGN,IAA
30015,360,0.06,0.16,145,0,12000,0,0,0,28000,0,0,0,0,40000,QMD,AAA
48086,50,1.47,6.28,5,63000,7000,0,0,0,0,0,0,0,0,70000,VA,PRO
79962,44.53,0.01,0.03,7.87,0,0,0,0,0,10000,0,0,0,0,10000,INTR,AAA
34113,310,0.01,0.56,52,0,0,3000,0,0,27000,0,0,0,0,30000,IGN,AAA
31995,50,0.05,1.98,22,0,32000,0,0,0,8000,0,0,0,0,40000,VA,IAA
79746,525.4,0.03,0.17,16.17,7500,7500,0,0,0,135000,0,0,0,0,150000,QMD,PRO
85644,50,0.05,0.37,20,0,7000,0,0,0,3000,0,0,0,0,10000,QMD,PHY
34688,50,0.05,0.46,115,0,8000,0,0,0,12000,0,0,0,0,20000,IGN,IAA
69775,50,0.09,0.99,13,12000,1500,0,0,0,1500,0,0,0,0,15000,VA,PRO
25089,780,0.03,0.67,93,10000,0,5000,0,0,35000,0,0,0,0,50000,IGN,AAA
13264,15.1,0.29,0.23,66.3,0,14400,0,0,0,15000,0,600,0,0,30000,QMD,PHY
12992,2.2,0.11,0.55,51.3,0,16000,0,0,0,4000,0,0,0,0,20000,QMD,PHY
86086,50,0.05,0.73,285,2500,2500,0,0,0,0,0,0,0,0,5000,VA,PRO
82564,50,0.14,3.43,23,10000,35000,0,5000,0,0,0,0,0,0,50000,VA,IAA
76284,240,0.03,0.09,31,0,0,2500,0,0,47500,0,0,0,0,50000,IGN,AAA
56993,1200,0.03,0.71,29,18000,6000,0,0,3000,3000,0,0,0,0,30000,IGN,AAA
40300,50,0.3,0.39,61,0,8000,0,0,0,32000,0,0,0,0,40000,QMD,PHY
75390,50,0.03,0.19,99,0,8000,0,0,0,2000,0,0,0,0,10000,QMD,PHY
71315,50,0.02,0.06,10,0,0,0,0,0,30000,0,0,0,0,30000,IGN,AAA
12777,248,0.04,0.86,3.87,4500,15000,0,0,0,10500,0,0,0,0,30000,QMD,AAA
47681,50,0.03,0.34,115,0,2000,0,0,0,8000,0,0,0,0,10000,VA,PRO
36179,100,0.01,0.42,105,0,20000,0,0,0,20000,0,0,0,0,40000,IGN,AAA
29102,50,0.03,1.46,26,0,27000,0,0,0,18000,0,0,0,0,45000,IGN,IAA
46915,50,0.03,2.08,50,0,35000,0,0,0,35000,0,0,0,0,70000,IGN,IAA
79540,94.72,0.05,1.13,12.19,1500,1500,1500,7500,7500,130500,0,0,0,0,150000,QMD,AAA
58025,50,0.61,0.47,66,0,10500,0,0,0,19500,0,0,0,0,30000,QMD,PHY
13465,183,0.23,0.65,16.15,0,12250,0,0,0,22750,0,0,0,0,35000,QMD,PHY
57057,370,0.07,1.01,38,12000,8000,0,0,0,20000,0,0,0,0,40000,IGN,AAA
47086,50,0.05,0.78,14,0,20000,0,0,0,30000,0,0,0,0,50000,QMD,PHY
14196,143,0.73,0.33,83.6,0,10000,0,0,0,15000,0,0,0,0,25000,QMD,PHY
13260,11.2,0.1,0.34,153,0,10500,0,0,0,18600,0,900,0,0,30000,QMD,PHY
15859,42.9,0.18,0.08,4.11,0,6000,0,0,0,24000,0,0,0,0,30000,HBX,PHY
55416,50,0.07,0.97,315,0,45000,0,0,0,5000,0,0,0,0,50000,QMD,AAA
30011,120,0.03,0.1,105,0,12000,0,0,0,28000,0,0,0,0,40000,QMD,AAA
33805,50,0.05,0.78,5,0,2000,6000,0,0,12000,0,0,0,0,20000,VA,PRO
12386,4,0.05,0.33,33.7,0,6000,0,0,0,13600,0,400,0,0,20000,QMD,PTS
29877,50,0.04,1.22,16,0,26000,0,0,0,14000,0,0,0,0,40000,IGN,IAA
31135,50,0.05,1.46,25,0,21000,0,0,0,9000,0,0,0,0,30000,VA,IAA
67522,240,0.05,1.33,74,0,4000,0,0,0,6000,0,0,0,0,10000,VA,IAA
30453,130,0.06,1.31,70,6000,12000,0,0,0,22000,0,0,0,0,40000,VA,IAA
34275,490,0.04,0.73,180,10000,4000,0,0,0,26000,0,0,0,0,40000,QMD,AAA
40649,170,0.02,0.42,16,15000,0,0,0,0,0,0,0,0,0,15000,VA,PHY
80030,296.33,0.05,0.2,45.7,0,0,0,0,0,100000,0,0,0,0,100000,QMD,UAL
14087,16.6,0.02,0.22,66.2,0,5000,0,0,0,5000,0,0,0,0,10000,QMD,PHY
82673,180,0.02,0.94,175,6000,24000,0,0,0,0,0,0,0,0,30000,VA,IAA
37970,620,0.05,0.18,5,0,3000,0,0,6000,51000,0,0,0,0,60000,QMD,AAA
56321,130,0.17,1.91,74,0,24000,0,0,0,6000,0,0,0,0,30000,QMD,PHY
28423,2160,0.05,1.06,48,3000,3000,0,0,0,24000,0,0,0,0,30000,IGN,AAA
46611,50,0.1,2.74,24,14000,6000,0,0,0,0,0,0,0,0,20000,QMD,PRO
83700,170,0.03,0.38,59,0,12000,0,0,0,28000,0,0,0,0,40000,QMD,PHY
46836,700,0.03,1.11,81,8000,0,0,0,8000,24000,0,0,0,0,40000,IGN,AAA
16325,8.7,0.03,0.15,8.95,0,7000,0,0,0,28000,0,0,0,0,35000,QMD,PHY
57583,50,0.06,1.33,39,0,10000,0,0,0,90000,0,0,0,0,100000,VA,PRO
53484,120,0.31,0.54,69,0,20000,0,0,0,20000,0,0,0,0,40000,QMD,PHY
45826,50,0.02,0.81,46,0,24000,0,0,0,36000,0,0,0,0,60000,IGN,IAA
13140,2.8,0.03,0.18,13.7,0,7500,0,0,0,7500,0,0,0,0,15000,QMD,PTS
80346,17.7,0.03,0.12,3.86,0,20000,0,0,0,60000,0,0,0,0,80000,IGN,PHY
44547,50,0.02,0.54,84,0,10000,0,0,0,0,0,0,0,0,10000,VA,PRO
51926,50,0.03,0.46,79,2000,8000,0,0,0,10000,0,0,0,0,20000,VA,PRO
12613,15.6,0.1,0.22,6.62,0,8750,0,0,0,15500,0,750,0,0,25000,QMD,PHY
49638,50,0.01,1.31,23,0,24000,0,0,0,16000,0,0,0,0,40000,VA,AAA
28466,50,0.04,1.1,25,6000,12000,0,0,0,12000,0,0,0,0,30000,VA,IAA
58104,50,0.08,0.25,120,0,12000,0,0,0,18000,0,0,0,0,30000,QMD,PHY
36748,50,0.02,0.18,26,0,3000,0,0,0,27000,0,0,0,0,30000,BIGD,IAA
13359,139,0.64,0.2,30,0,14000,0,0,0,26000,0,0,0,0,40000,QMD,PHY
32884,50,0.03,1.64,52,0,27000,0,0,0,3000,0,0,0,0,30000,VA,IAA
30826,50,0.05,0.95,120,0,16000,0,0,0,4000,0,0,0,0,20000,IGN,PHY
14559,54.6,0.02,0.05,55.8,0,4500,0,0,0,85500,0,0,0,0,90000,IGN,AAA
37015,50,0.23,0.78,110,0,9000,0,0,0,21000,0,0,0,0,30000,QMD,PHY
69198,50,0.01,0.77,5,0,12000,0,0,0,18000,0,0,0,0,30000,VA,IAA
79087,391.7,0.17,0.18,15.28,9000,9000,0,0,0,42000,0,0,0,0,60000,QMD,PHY
29312,135,0.05,0.78,55,0,16000,0,0,0,24000,0,0,0,0,40000,VA,IAA
74455,50,0.14,1.99,165,6000,21000,0,0,0,3000,0,0,0,0,30000,VA,IAA
69888,1730,0.8,0.9,5,0,15000,0,0,0,35000,0,0,0,0,50000,QMD,PHY
18128,352,0.12,0.81,21.6,5500,13750,0,0,0,35750,0,0,0,0,55000,HBX,IAA
16853,22.2,0.07,0.13,19.7,0,3000,0,0,0,7000,0,0,0,0,10000,FLT,PHY
23359,18.05,0.01,0.77,15.15,0,0,0,0,0,3000,0,0,0,0,3000,IGN,UAL
65925,140,0.02,0.43,110,3000,0,0,0,6000,21000,0,0,0,0,30000,IGN,AAA
31632,50,0.04,0.47,75,3000,15000,0,0,0,12000,0,0,0,0,30000,VA,PRO
62864,50,0.01,2.15,10,0,40000,0,0,0,0,0,0,0,0,40000,QMD,PHY
74493,50,0.07,0.65,86,0,5000,0,0,0,45000,0,0,0,0,50000,VA,IAA
48011,50,0.08,4.33,38,48000,12000,0,0,0,0,0,0,0,0,60000,IGN,IAA
75979,110,0.05,1.72,13,0,12000,0,0,0,28000,0,0,0,0,40000,VA,IAA
69393,50,0.07,0.62,140,0,13500,0,0,0,16500,0,0,0,0,30000,QMD,PHY
39062,50,0.11,1.23,21,0,24000,0,0,0,16000,0,0,0,0,40000,QMD,PHY
30404,160,0.25,5.11,26,8000,12000,0,0,0,20000,0,0,0,0,40000,VA,IAA
16433,72,0.05,0.09,4.9,0,3000,0,0,0,27000,0,0,0,0,30000,QMD,PHY
74397,190,0.06,2.78,42,0,40000,0,0,0,10000,0,0,0,0,50000,VA,AAA
80481,237.65,0.01,0.07,5.39,10000,10000,0,0,0,80000,0,0,0,0,100000,QMD,UAL
49658,710,0.04,1.3,34,6000,0,18000,0,0,36000,0,0,0,0,60000,VA,AAA
55834,50,0.24,1.27,64,0,40000,0,0,0,0,0,0,0,0,40000,QMD,PHY
78886,29.88,0.13,0.12,6.82,0,0,0,0,0,10000,0,0,0,0,10000,QMD,PHY
65611,50,0.02,0.18,83,0,4000,0,0,0,36000,0,0,0,0,40000,VA,PRO
47347,120,0.03,0.66,335,0,21000,0,0,0,9000,0,0,0,0,30000,VA,IAA
33933,550,0.72,0.81,44,0,18000,0,0,0,42000,0,0,0,0,60000,QMD,PHY
30536,50,0.03,0.22,21,0,6000,0,0,0,14000,0,0,0,0,20000,QMD,PHY
28528,50,0.05,2.24,14,0,24000,0,0,0,6000,0,0,0,0,30000,BAD,IAA
40751,50,0.07,0.9,41,7000,2000,0,0,0,1000,0,0,0,0,10000,VA,PRO
78797,72.65,0.12,0.11,7.61,0,4000,0,0,0,36000,0,0,0,0,40000,QMD,PHY
23744,29.5,0.07,0.11,15.05,0,3500,0,0,0,31500,0,0,0,0,35000,QMD,UAL
69180,50,0.05,1.6,21,0,28000,0,0,0,12000,0,0,0,0,40000,IGN,AAA
68838,650,0.05,0.49,145,12000,0,0,0,3000,15000,0,0,0,0,30000,QMD,AAA
38494,50,0.06,2.23,10,4000,32000,0,0,0,4000,0,0,0,0,40000,VA,IAA
40743,50,0.04,0.83,55,4000,16000,0,0,0,0,0,0,0,0,20000,VA,PRO
37903,50,0.07,0.53,130,0,20000,0,0,0,20000,0,0,0,0,40000,IGN,AAA
40708,50,0.52,2.39,93,30000,20000,0,0,0,0,0,0,0,0,50000,QMD,AAA
31899,1300,0.02,0.82,76,0,0,3000,3000,0,24000,0,0,0,0,30000,IGN,AAA
49735,50,0.03,0.28,93,0,12000,0,0,0,18000,0,0,0,0,30000,VA,PRO
66180,50,0.12,1.78,5,24000,6000,0,0,0,0,0,0,0,0,30000,VA,PRO
35493,270,0.04,1.7,16,12000,4000,0,0,0,24000,0,0,0,0,40000,IGN,AAA
55631,260,0.03,0.42,5,0,5000,0,0,0,45000,0,0,0,0,50000,IGN,AAA
82577,50,0.14,2.65,65,0,40000,0,0,0,0,0,0,0,0,40000,VA,AAA
70979,50,0.09,0.92,77,0,21000,0,0,0,9000,0,0,0,0,30000,QMD,PHY
30483,50,0.01,0.68,99,4500,6000,0,0,0,19500,0,0,0,0,30000,VA,IAA
49318,50,0.23,2.99,105,12000,15000,0,0,0,3000,0,0,0,0,30000,QMD,PHY
12173,4.1,0.59,0.8,10.1,8000,12000,0,0,0,18800,0,1200,0,0,40000,QMD,PTS
77868,133,0.08,0.39,9.98,3500,3500,0,0,0,63000,0,0,0,0,70000,QMD,PHY
65709,200,0.19,0.63,41,0,18000,0,0,0,22000,0,0,0,0,40000,QMD,PHY
28495,50,0.02,0.06,23,0,3000,0,0,0,7000,0,0,0,0,10000,VA,AAA
34305,50,0.04,0.75,150,0,14000,0,0,0,6000,0,0,0,0,20000,QMD,AAA
63804,50,0.27,0.97,38,0,20000,0,0,0,20000,0,0,0,0,40000,QMD,PHY
61307,50,0.02,1.16,78,0,24000,0,0,0,6000,0,0,0,0,30000,QMD,PHY
75378,50,0.03,0.48,42,0,17500,0,0,0,7500,0,0,0,0,25000,QMD,PHY
13354,67.5,0.24,0.2,29.6,0,9000,0,0,0,21000,0,0,0,0,30000,QMD,PHY
82710,200,0.03,0.21,27,0,10000,0,0,0,10000,0,0,0,0,20000,QMD,PHY
31403,50,0.01,0.01,46,0,1000,0,0,0,9000,0,0,0,0,10000,IGN,AAA
39067,50,0.11,1.28,76,0,32000,0,0,0,8000,0,0,0,0,40000,QMD,PHY
86065,50,0.08,1.33,37,4000,6000,0,0,0,0,0,0,0,0,10000,VA,PRO
62911,50,0.12,0.68,165,0,15000,0,0,0,0,0,0,0,0,15000,FLT,PHY
59967,50,0.08,1.18,72,12000,16000,0,0,0,12000,0,0,0,0,40000,VA,PRO
12131,2.6,0.31,0.56,17.35,0,3800,0,0,0,16000,0,200,0,0,20000,QMD,PTS
53333,50,0.08,1.16,30,14137.5,14355,0,0,0,15007.5,0,0,0,0,43500,VA,PRO
30315,1830,0.04,1.37,250,9000,0,3000,0,0,18000,0,0,0,0,30000,IGN,AAA
31200,130,0.11,0.86,83,4000,4000,0,0,0,2000,0,0,0,0,10000,QMD,AAA
13007,5.6,0.07,0.56,70.2,0,12000,0,0,0,18000,0,0,0,0,30000,QMD,PHY
16862,14.9,0.05,0.09,38,0,2000,0,0,0,3000,0,0,0,0,5000,FLT,PHY
28972,25,0.01,0.4,41,0,12000,0,0,0,28000,0,0,0,0,40000,QMD,PHY
78773,26.6,0.08,0.14,8.93,0,42000,0,0,0,28000,0,0,0,0,70000,QMD,PHY
36898,50,0.03,0.13,48,0,8000,0,0,0,32000,0,0,0,0,40000,QMD,PHY
55000,50,0.04,1.22,135,0,28000,0,0,0,42000,0,0,0,0,70000,VA,IAA
47891,1120,0.07,1.55,56,12000,0,0,0,12000,36000,0,0,0,0,60000,IGN,AAA
13992,28,0.03,0.52,379,0,6000,0,0,0,44000,0,0,0,0,50000,QMD,PHY
62933,50,0.1,0.59,62,0,18000,0,0,0,12000,0,0,0,0,30000,QMD,AAA
14627,14.3,0.12,0.71,28.7,0,19250,0,0,0,15750,0,0,0,0,35000,QMD,PHY
37433,50,0.2,0.44,35,0,8000,0,0,0,12000,0,0,0,0,20000,QMD,PHY
32404,50,0.05,1.75,50,10000,2000,6000,0,0,2000,0,0,0,0,20000,VA,IAA
30110,50,0.16,0.67,235,0,15000,0,0,0,15000,0,0,0,0,30000,QMD,AAA
57173,50,0.01,0.06,95,0,3000,0,0,0,27000,0,0,0,0,30000,QMD,AAA
28615,50,0.05,1.44,270,4000,4000,0,0,0,2000,0,0,0,0,10000,VA,PRO
75311,50,0.06,1.12,13,0,28000,0,0,0,12000,0,0,0,0,40000,VA,PRO
48895,530,0.02,0.62,100,0,18000,0,0,0,42000,0,0,0,0,60000,IGN,AAA
13721,75.9,0.03,0.09,42.1,0,1500,0,0,0,28500,0,0,0,0,30000,QMD,AAA
72680,50,0.04,0.39,10,0,21000,0,0,0,9000,0,0,0,0,30000,IGN,IAA
68724,360,0.02,1.02,41,6000,0,24000,0,0,30000,0,0,0,0,60000,IGN,AAA
85582,50,0.05,0.08,12,0,0,0,0,0,10000,0,0,0,0,10000,BIGD,PHY
23753,97.3,0.03,0.04,1.51,0,2500,0,0,0,22500,0,0,0,0,25000,QMD,UAL
48390,50,0.04,1.27,21,0,21000,0,0,0,9000,0,0,0,0,30000,VA,IAA
65695,790,0.06,0.73,50,0,20000,0,0,0,20000,0,0,0,0,40000,QMD,PHY
44533,50,0.06,0.8,105,15000,0,0,0,0,0,0,0,0,0,15000,VA,PRO
43367,400,0.02,0.47,42,0,9000,0,0,0,21000,0,0,0,0,30000,IGN,AAA
37443,85,0.09,0.58,143,0,12000,0,0,0,8000,0,0,0,0,20000,QMD,PHY
23725,79.9,0.12,0.07,4.19,0,3000,0,0,0,12000,0,0,0,0,15000,FLT,UAL
55700,250,0.05,0.36,27,0,6000,0,0,0,54000,0,0,0,0,60000,IGN,AAA
79094,519.05,0.04,0.21,6.5,9000,9000,0,0,0,42000,0,0,0,0,60000,QMD,PHY
59927,50,0.16,2.1,12,22500,2500,0,0,0,0,0,0,0,0,25000,VA,PRO
69890,190,0.77,0.46,10,0,9000,0,0,0,21000,0,0,0,0,30000,QMD,PHY
80731,4.67,0.01,0.03,40.75,0,1000,0,0,0,9000,0,0,0,0,10000,QMD,PHY
39131,50,0.07,0.17,5,0,12000,0,0,0,8000,0,0,0,0,20000,BIGD,PHY
30314,3660,0.04,1.38,365,9000,0,3000,0,0,18000,0,0,0,0,30000,IGN,AAA
33207,430,0.05,1.97,5,0,28000,0,0,0,12000,0,0,0,0,40000,IGN,IAA
75411,50,0.02,0.06,53,0,9000,0,0,0,1000,0,0,0,0,10000,QMD,PHY
12055,14,0.08,0.21,37.8,0,2000,0,0,0,18000,0,0,0,0,20000,QMD,PTS
64418,50,0.18,1.18,95,35000,10000,0,0,0,5000,0,0,0,0,50000,QMD,PHY
83144,210,1.07,0.7,67,0,15000,0,0,0,35000,0,0,0,0,50000,QMD,PHY
49753,50,0.04,0.24,67,0,4000,0,0,0,16000,0,0,0,0,20000,VA,PRO
72109,430,0.05,1.32,17,9000,0,0,0,4500,31500,0,0,0,0,45000,IGN,AAA
85607,50,0.2,0.85,48,0,21000,0,0,0,9000,0,0,0,0,30000,QMD,PHY
59968,100,0.05,0.92,58,12000,6000,0,0,0,12000,0,0,0,0,30000,VA,PRO
23610,8.29,0.05,0.12,2.35,0,26000,0,0,0,12000,0,2000,0,0,40000,QMD,PRO
48427,50,0.04,1.25,68,0,32000,0,0,0,8000,0,0,0,0,40000,QMD,PHY
67094,140,0.08,1.36,66,0,20000,0,0,0,5000,0,0,0,0,25000,QMD,PHY
69958,110,0.04,0.54,37,0,4000,0,0,0,16000,0,0,0,0,20000,FLT,PRO
23720,26.5,0.04,0.07,3.83,0,0,0,0,0,5000,0,0,0,0,5000,FLT,UAL
36467,140,0.04,0.77,38,0,27000,0,0,0,3000,0,0,0,0,30000,IGN,IAA
24930,12,0.07,0.2,7.42,0,12000,0,0,0,48000,0,0,0,0,60000,QMD,PHY
47829,100,0.02,0.46,5,4000,20000,0,0,0,16000,0,0,0,0,40000,IGN,AAA
78963,9.26,0.01,0.01,3.65,0,500,0,0,0,9500,0,0,0,0,10000,QMD,PRO
23230,17.6,0.27,0.64,36.8,0,12000,0,0,0,48000,0,0,0,0,60000,VA,PHY
86104,490,0.09,0.63,155,0,18000,0,0,0,12000,0,0,0,0,30000,VA,PRO
48434,50,0.01,0.71,205,0,21000,0,0,0,9000,0,0,0,0,30000,QMD,PHY
37969,470,0.04,0.13,32,0,3000,0,0,6000,51000,0,0,0,0,60000,QMD,AAA
15501,50.4,0.25,0.63,44.2,0,14000,0,0,0,20300,0,700,0,0,35000,QMD,PHY
69250,50,0.07,1.1,5,12000,12000,0,0,0,6000,0,0,0,0,30000,QMD,AAA
46222,50,0.11,1.33,42,0,24000,0,0,0,6000,0,0,0,0,30000,QMD,PHY
76396,50,0.13,1.67,21,24000,6000,0,0,0,0,0,0,0,0,30000,VA,IAA
33814,50,0.08,1.26,205,0,27000,0,0,0,3000,0,0,0,0,30000,VA,PRO
31248,50,0.05,2.06,170,6000,8000,0,0,0,6000,0,0,0,0,20000,VA,PRO
63603,50,0.07,3.56,16,0,30000,0,0,0,20000,0,0,0,0,50000,VA,IAA
76436,50,0.03,1.06,52,12000,9000,0,0,0,9000,0,0,0,0,30000,VA,PRO
35165,50,0.04,0.72,100,0,18000,0,0,0,2000,0,0,0,0,20000,QMD,PHY
46718,50,0.17,0.07,5,0,4000,0,0,0,36000,0,0,0,0,40000,QMD,PHY
26964,50,0.05,0.87,155,0,18000,0,0,0,12000,0,0,0,0,30000,VA,IAA
72773,50,0.02,0.86,45,4000,4000,0,0,0,2000,0,0,0,0,10000,VA,PRO
55868,50,0.11,0.29,5,0,0,0,0,0,20000,0,0,0,0,20000,BIGD,PHY
32422,50,0.05,3.14,24,12000,6000,9000,0,0,3000,0,0,0,0,30000,VA,IAA
58504,50,0.06,0.97,23,0,17500,0,0,0,32500,0,0,0,0,50000,HBX,PHY
